"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"VALUE";
"3.3REG";"3.3REG1AREG";"3.3REG1AREG";"DPAK";"";"";"";"";"";"";"";"";"";
"3.3V";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";"";"";
"5.0REG";"MIC5219 5V";"V_REG_MIC52195V";"SOT23-5";"V_REG MIC5219";"";"";"";"";"";"VREG-10107";"";"MIC5219 5V";
"5V";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";"";"";
"12V";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";"";"";
"ANDS";"AND-DUAL";"AND-DUAL";"TSSOP8";"";"";"";"";"";"";"";"";"";
"BATT";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"";"";"";
"BB_CON";"JST-5";"JST-5";"JST-5-2MM";"";"";"";"";"";"";"";"";"";
"C1";"1500uF";"CPOL-USE10-35";"EB35D";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"C2";"1500uF";"CPOL-USE10-35";"EB35D";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"C3";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C4";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C5";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C6";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C7";".01uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C8";"470pF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C9";".01uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C10";"47uF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";"";"";
"C11";"47uF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";"";"";
"C12";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C13";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C14";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C15";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C16";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C17";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C18";"10uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C19";"100pF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C20";"47uF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";"";"";
"C21";"47uF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";"";"";
"C22";".01uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C23";"47uF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";"";"";
"CAP/100";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";"";"";
"CAP_COMP";"LM331";"LM331";"SOT23-5";"LM331 Single Comparator";"";"";"";"";"";"";"";"";
"CAP_SENSE_BUF";"MCP6291T-E/OT";"MCP6291T-E/OT";"SOT23-5";"Rail to rail OpAmp with 10MHz GBP";"";"";"";"";"";"IC-11991";"";"";
"CHARGE_D";"1kV, ultrafast";"DIODE-DO214AC";"DO214AC";"DIODE";"";"";"";"";"";"";"";"";
"CHARGE_U";"LT3750";"LT3750";"10-MSOP";"";"";"";"";"";"";"";"";"";
"CHIP";"JST-22MM";"JST-22MM";"JST-2-2MM";"";"";"";"";"";"";"";"";"";
"CHIP_FLYBACK";"DIODE-ZENERDO214AB";"DIODE-ZENERDO214AB";"DO214AB";"Zener Diode";"";"";"";"";"";"";"";"";
"CHIP_Q";"";"N-MOSFETDPAK";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";"";"";
"CLAMP1";"DIODE-ZENERDO214AC";"DIODE-ZENERDO214AC";"DO214AC";"Zener Diode";"";"";"";"";"";"";"";"";
"CLAMP2";"DIODE-ZENERDO214AC";"DIODE-ZENERDO214AC";"DO214AC";"Zener Diode";"";"";"";"";"";"";"";"";
"DIS";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";"";"";
"DISCHARGE_D";"";"DIODE-DO214AA";"DO214AA";"DIODE";"";"";"";"";"";"";"";"";
"DISCHARGE_Q";"";"N-MOSFETDPAK";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";"";"";
"DIS_SIG_Q";"MOSFET-PCHANNEL";"MOSFET-PCHANNEL";"SOT23-3";"Generic PMOSFET";"";"";"";"";"";"TRANS-08285";"";"";
"DRIB";"JST-22MM";"JST-22MM";"JST-2-2MM";"";"";"";"";"";"";"";"";"";
"DRIB_TRAN";"";"N-MOSFETDPAK";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";"";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";"";"";
"FRAME3";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";"";"";
"FRAME4";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";"";"";
"GEN_3_REV_B";"Spring 2015";"LOGO";"LOGO";"";"";"";"";"";"";"";"";"";
"JP1";"M05X2PTH";"M05X2PTH";"AVR_ICSP";"Header 5x2";"";"";"";"";"";"";"";"";
"KICK";"JST-22MM";"JST-22MM";"JST-2-2MM";"";"";"";"";"";"";"";"";"";
"KICK_FLYBACK";"DIODE-ZENERDO214AB";"DIODE-ZENERDO214AB";"DO214AB";"Zener Diode";"";"";"";"";"";"";"";"";
"KICK_Q";"";"N-MOSFETDPAK";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";"";"";
"LED2";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";
"LED3";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";
"LED4";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";
"LED5";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";
"LED6";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";
"LED7";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";
"LOGIC_HEADER";"M10SILK_FEMALE_PTH";"M10SILK_FEMALE_PTH";"1X10";"Header 10";"";"";"";"";"";"CONN-11563";"";"";
"MAN-DIS";"SWITCH-MOMENTARY-2SMD-4";"SWITCH-MOMENTARY-2SMD-4";"TACTILE_SWITCH_TALL";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";"SWCH-11966";"";"";
"NEON";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";
"ON/OFF";"SPDT-SWITCH";"SPDT-SWITCH";"CK_SWITCH";"";"";"";"";"";"";"";"";"";
"OPTO_KICK";"ILD205";"ILD205";"SOIC08";"Siemens ILD205/206/207/211/213/217";"VISHAY/TELEFUNKEN";"ILD205T";"1469512";"20H8678";"";"";"";"";
"POWER_HEADER";"M10SILK_FEMALE_PTH";"M10SILK_FEMALE_PTH";"1X10";"Header 10";"";"";"";"";"";"CONN-11563";"";"";
"PWM_FILT";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";"";"";
"R1";"2k,5w";"RESISTOR";"5WRESISTOR";"Resistor";"";"";"";"";"";"";"";"";
"R2";"4.7k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R3";"4.7k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R4";"4.7k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R5";"20";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R6";"100";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R7";"100k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R8";"3k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R9";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R10";"80k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R11";"100k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R12";"100k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
