"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";
"C1";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C2";"100uF";"CAP-POLAR";"PANASONIC_D";"Cap Alum Polarized";"";"";"";"";"CAP-10547";"";
"C3";".47uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C4";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C5";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C6";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C7";"100uF";"CAP-POLAR";"PANASONIC_D";"Cap Alum Polarized";"";"";"";"";"CAP-10547";"";
"C8";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C9";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C10";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C11";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C12";".47uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C13";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C14";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C15";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C16";"100uF";"CAP-POLAR";"PANASONIC_D";"Cap Alum Polarized";"";"";"";"";"CAP-10547";"";
"C17";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C18";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C19";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C20";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C21";".47uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C22";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C23";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
