Vendor,Distributer part # (manufacturer part number),Description,Package,Unit Price,Quantity,Want (# boards),Want (# components),Have (# components),Margin,Order (# components),,
,,,,,,,,,,,,
Motherboard,,,,,,,,,,,,
Digikey,RXM-900-HP3-PPS-ND,900MHz Radio Receiver,--,44.98,1,,5,2,,3,,
Digikey,TXM-900-HP3-PPS-ND,900MHz Radio Transmitter,--,30.33,1,,5,0,,5,,
Digikey,ANT-916-CW-RH-ND,ANTENNA 916MHZ 1/4 WAVE WHIP,--,1.96,2,,10,1,,9,,
Digikey,CONREVSMA005C08.5-ND,"CONN RPSMA Black CRJA-CPV 8.5"" COAX",,,2,,10,2,,8,,
Digikey,CT2086-ND,DIP switch (6 switches),,,1,,5,0,,5,,
Digikey,CT2084-ND,SWITCH SPST TIN 4 SEC (robot id),DIP,0.92,1,,5,0,,5,,
Digikey,WM17131-ND ,CONN USB RT ANG RECPT TYPE B WHT ,--,1.87,1,,5,0,,5,,
Digikey,604-00043-ND,Ft232rl usb to serial chip,SSOP-28,4.02,1,,5,0,,5,,
Digikey,S9000-ND,jumpers,,,2,,10,0,,10,,
Digikey,PT78ST105V-ND,5 volt regulator package,,,1,,5,0,,5,,
Digikey,ED1623-ND,"TERMINAL BLOCK 5MM VERT 2POS (motor, dribbler connector)",5mm,0.46,5,,25,22,,3,,
Digikey,679-1876-ND,Power switch,,,1,,5,0,,5,,
Digikey,A26509-40-ND,"male header 40 pins (straight) breakbeam, encoders, radio selectors need 26 pins",,,1,,5,0,,5,,
Digikey,S7023-ND,female header pins need 150 pins,,,6,,30,0,,30,,
Digikey,SAM1039-50-ND,male header pins bent (kicker) (50 pin strip) need 20 pins on motherboard,,,3,,15,0,,15,,
Digikey,CM7219-ND,Neon Light 12V,,,1,,5,0,,5,,
Mouser,651-1755736,Battery PCB terminal block,,,2,,10,2,,8,,
Mouser,651-1808816,Battery on battery terminal block,,,2,,10,0,,10,,
Mouser,651-3190564,Battery crimp,,,4,,20,0,,20,,
,,,,,,,,,,,,
--,--,Motor Connector,--,,4,,20,20,,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Brushless,,,,,,,,,,,,
Digikey,478-6214-1-ND,Cap 50p,805,,1,5,,,1.5,10,,
